config_id,Bx,By,Bz
config_000000,-0.11140660899903962,0.2802156940612576,-0.11272319444958095
config_000001,-0.27102777005682865,-0.07958210862569168,-0.2002400639662235
config_000002,-0.2573748478211541,0.12197432606148573,-0.07708535608207709
config_000003,0.06050980751210916,-0.06938704573285523,0.05629176718620105
config_000004,-0.2027717159138001,-0.2151012110577888,0.2016708206362326
config_000005,-0.13615409692801983,-0.1920690328745148,-0.018639912427550254
config_000006,0.1886742928404434,0.1258760280848929,0.14019720213861264
config_000007,-0.16757794529735384,-0.12195434373654315,-0.030416585849755484
config_000008,-0.09704695155517312,0.15023630528109932,0.267233497670093
config_000009,-0.22273011577347498,-0.09720836664194635,0.20398430375584536
config_000010,0.2906283543355858,-0.05873747549948882,-0.2564234412655262
config_000011,0.2734609363987662,0.13683674108955807,0.10874034053263937
config_000012,-0.13752504277031954,0.20987614575108898,0.17605319514066203
config_000013,-0.15011437714378495,-0.27340039444187736,-0.23048278442951803
config_000014,-0.006558983386808659,-0.256730411864392,-0.023405325131729382
config_000015,0.2680943564975777,0.14833164408872396,-0.15235847407151704
config_000016,0.27551329544337905,-0.1271805364887775,0.18876278144039438
config_000017,-0.16337113902097325,-0.2750732791202594,0.22911910903852
config_000018,0.20291981461617475,-0.07795502853304595,-0.05369068904219004
config_000019,-0.20579306892851684,0.07762043806664454,-0.03637866679499557
config_000020,0.08498172348963312,0.12330289978493136,-0.13124316606272712
config_000021,0.20811818275531807,-0.13274194923182092,-0.20376341223377467
config_000022,0.1552732433778501,-0.0465789071597279,0.014185468358978381
config_000023,-0.2649911556188024,0.08584328530335783,-0.16165167595156896
config_000024,-0.042653384889078605,-0.2746671491242075,-0.056471772582567636
config_000025,0.16867373607843222,0.22940790776074665,-0.24463120213842404
config_000026,-0.2689858615060672,-0.24455831647812445,-0.19611709797383226
config_000027,-0.03225350865035792,-0.028874458515466328,-0.09535957103618548
config_000028,-0.07635416820509805,0.21998963354239792,0.18793980123034798
config_000029,-0.2592990643683068,-0.14733593163861683,-0.03508941399094667
config_000030,0.03066062077545828,-0.2313498941078938,-0.1522616813330494
config_000031,-0.15557206728462913,0.21755849570086677,-0.27997772163583967
config_000032,0.0207142780857284,-0.0347158004666962,0.28936308577138653
config_000033,0.146736965518647,0.2004107215619078,-0.24183058626659582
config_000034,-0.014034831269101489,0.15539018159928958,-0.03280865240351466
config_000035,-0.0791253720580189,-0.033385982171280415,0.19732724683391467
config_000036,-0.025195340775271913,-0.1817120818108851,0.042288452015321554
config_000037,-0.05866606284248993,-0.19751700072608408,0.24997115769836326
config_000038,-0.198291262729271,0.2319635833127947,0.27722466325400447
