experiment_id,Ax,Ay,Az
0,-1.1509959,-0.07219821,0.037797116
1,-1.0588739,-0.79931384,-0.5995285
2,-1.095318,-0.89653367,-0.26651615
3,-1.0265615,-0.76617277,-0.05332576
4,-1.0247664,-0.86832476,0.38528392
5,-1.0798469,-0.90821874,0.5087496
6,-1.0259336,-0.4824869,-0.84905314
7,-1.0080419,-0.4580384,-0.4549499
8,-1.0284709,-0.53631145,-0.16935466
9,-1.0216036,-0.4757037,0.09780731
10,-1.0292691,-0.54300594,0.19021401
11,-1.0983384,-0.5472799,0.6008155
12,-1.0464792,-0.45809442,0.76904434
13,-1.1091108,-0.36443427,-0.9190071
14,-1.086455,-0.39694512,-0.6630447
15,-1.1046945,-0.2647892,-0.2844989
16,-1.0963707,-0.1911612,-0.081847474
17,-0.9910581,-0.3636943,0.33382392
18,-1.0087258,-0.23381655,0.5444817
19,-1.1093956,-0.18945023,0.8056867
20,-1.0054486,-0.021678912,-0.7964541
21,-1.0476464,0.096173,-0.6140333
22,-1.0813267,-0.077212095,-0.18593688
23,-1.1037538,-0.105080225,0.008621828
24,-1.027019,0.039640777,0.31957823
25,-1.0309218,-0.004354408,0.45549458
26,-1.0568222,-0.10610727,0.8120988
27,-1.0667099,0.3643877,-0.8658081
28,-1.1012725,0.22718751,-0.6216124
29,-1.0097505,0.2884512,-0.3630287
30,-1.0398384,0.19105862,-0.018504024
31,-0.9946762,0.3799732,0.3418886
32,-1.0240265,0.21262905,0.5351075
33,-1.0035392,0.3625927,0.87689644
34,-1.0169889,0.6465096,-0.92615914
35,-1.0588459,0.5386598,-0.6248313
36,-1.0228851,0.46548465,-0.18724637
37,-1.0244256,0.46793556,0.093589395
38,-1.1030699,0.53324443,0.17425501
39,-0.9983525,0.6647468,0.6321289
40,-1.052149,0.6212348,0.94200456
41,-0.99672794,0.9247824,-0.48763347
42,-1.0853719,0.89751416,-0.17713225
43,-1.0399249,0.914869,0.073361136
44,-1.0147947,0.75914454,0.22973683
45,-0.9990925,0.8614413,0.63164574
46,-0.91500723,-1.3224663,-0.24098688
47,-0.8855145,-1.4028774,-0.06403978
48,-0.9257773,-1.454223,0.36878803
49,-0.9553541,-1.0235918,-0.81879246
50,-0.8581879,-1.2070069,-0.51986194
51,-0.87748015,-1.2289765,-0.18710399
52,-0.8943775,-1.1176207,-0.10564007
53,-0.9589721,-1.2145021,0.38631096
54,-0.9186253,-1.2197727,0.46016768
55,-0.85340047,-1.0712329,0.74681795
56,-0.8666518,-0.80407095,-1.0263737
57,-0.88751024,-0.78483945,-0.8683734
58,-0.906317,-0.8035878,-0.6066805
59,-0.8937216,-0.7636658,-0.29210606
60,-0.87400454,-0.773096,-0.094926044
61,-0.88839495,-0.74431986,0.3374723
62,-0.9140105,-0.8672417,0.5337093
63,-0.8947206,-0.750844,0.8757294
64,-0.8855145,-0.84555924,1.2278869
65,-0.85630655,-0.6734276,-1.2274005
66,-0.87175435,-0.47430784,-0.8291914
67,-0.9585169,-0.6084012,-0.6242898
68,-0.9073137,-0.58726025,-0.31393328
69,-0.89964813,-0.65820855,-0.037168365
70,-0.9556108,-0.6365821,0.3888179
71,-0.9126147,-0.54762304,0.54995304
72,-0.8453381,-0.64769524,0.77796334
73,-0.93415475,-0.59381235,1.1824095
74,-0.95159364,-0.29684487,-1.4763253
75,-0.9450112,-0.25869223,-1.1752824
